from_stop_id,to_stop_id,transfer_type,min_transfer_time
4996981,2063,2,209
1759,1956,2,600
1793,3893447,2,217
4037259,2521,2,282
1793,3893448,2,199
5761973,2485,2,387
1951,3926338,2,208
2072,7170691,2,212
2377,1647,2,130
1958,2235,2,420
2403,5454881,2,216
7176323,2550,2,212
6591780,2125,2,216
1746,5747220,2,206
2089,6869762,2,207
2403,5454880,2,199
4996980,2112,2,195
2063,4726948,2,195
1675,1674,2,111
2126,2213,2,137
1746,5747219,2,206
2126,1958,2,97
2077,2213,2,134
2017,7153055,2,264
7176293,2206,2,197
1746,4036966,2,206
2017,7153054,2,247
1746,4036967,2,206
2063,4726949,2,209
2112,3747869,2,209
2076,4036979,2,218
2076,4036978,2,199
1675,1676,2,110
1793,3893446,2,214
2136,5454883,2,264
2112,3747868,2,195
1793,3893445,2,248
2213,3666619,2,205
2377,967988,2,180
4996994,2076,2,250
2377,967989,2,180
2297,5657285,2,243
2257,6682465,2,306
2257,6682464,2,287
2076,4037048,2,254
7176322,2089,2,203
2287,5944524,2,202
2125,4035731,2,223
2125,4035730,2,223
5761975,2485,2,196
2257,6682566,2,306
1891,4035564,2,218
2063,2111,2,100
6423469,1767,2,256
4997012,1958,2,205
3731630,2287,2,193
1901,5657285,2,243
2089,6869786,2,195
6423460,2125,2,250
3807565,2076,2,259
2112,4044994,2,241
1901,4035818,2,243
2112,4044993,2,197
1922,5770783,2,240
1891,5747217,2,193
2424,4036967,2,206
1891,5747218,2,202
2424,4036966,2,206
4996987,1767,2,254
2213,5018143,2,282
1922,5770784,2,243
2310,2311,2,110
2076,5761444,2,189
2164,3747870,2,284
2076,5761443,2,199
2076,5761442,2,250
3343778,1767,2,180
3807564,2125,2,250
1932,4035546,2,197
3343786,2112,2,180
1932,4035547,2,207
2076,5018331,2,216
2076,5018330,2,185
6423464,1898,2,197
2112,3764983,2,195
2063,4726939,2,241
1958,3811292,2,281
2112,3764984,2,216
2063,4726938,2,197
3749762,2485,2,220
4996993,2125,2,259
2125,3740501,2,263
2125,3740502,2,194
2112,4037189,2,209
4996987,2377,2,254
2017,5454883,2,264
2112,4037187,2,195
2294,4044989,2,234
2112,4037188,2,191
2550,5150454,2,195
4996991,1898,2,234
2403,6251763,2,243
2206,3764976,2,208
4471839,2403,2,230
2076,4035730,2,223
2076,4035731,2,223
2213,5657278,2,235
2213,1910,2,420
2089,6869726,2,195
2136,3926305,2,264
2089,6869663,2,207
2089,6869662,2,195
2206,3887817,2,270
2424,7647712,2,416
2125,3764653,2,250
2213,5657280,2,274
2136,3926304,2,247
1932,3673631,2,210
1932,3673630,2,245
1898,4044989,2,234
2403,6251764,2,230
2112,3687123,2,241
2121,3682086,2,212
2550,6869812,2,207
1951,3673583,2,268
2297,2296,2,225
2521,3926302,2,241
1891,5944524,2,202
2521,3926303,2,231
2521,7153053,2,231
4037260,1951,2,208
2521,7153052,2,241
4471841,1951,2,208
2297,2298,2,161
4471735,2403,2,243
2377,4726932,2,229
3343785,2063,2,180
1767,4726956,2,279
2550,4035534,2,212
6423473,2310,2,232
2550,4035535,2,203
1767,4726955,2,254
2125,3666772,2,192
2063,3687078,2,191
2112,3687300,2,205
6423463,2294,2,234
2063,3687079,2,209
2382,4036968,2,221
2382,4036969,2,205
4037259,1641,2,282
1766,2377,2,128
6591548,1767,2,229
6423461,2125,2,210
1958,2212,2,124
2125,3666672,2,192
4997020,2112,2,197
2125,3666673,2,194
2403,5018355,2,248
2089,4036936,2,212
2403,5018356,2,214
2125,3747910,2,254
2089,4036935,2,212
2403,5018357,2,214
1793,5454936,2,216
3749769,2213,2,217
6423468,2377,2,243
2089,4614627,2,215
2089,4614626,2,215
1891,4009092,2,193
2125,3747911,2,236
1793,3893369,2,248
3749793,2485,2,268
7176322,2550,2,203
1891,5944500,2,218
2125,3747909,2,210
2125,3747908,2,250
2063,3687300,2,205
2213,3811292,2,281
2377,4726955,2,254
2089,4614756,2,215
2550,4117656,2,207
2550,4117655,2,210
2377,4726956,2,279
1767,7170694,2,207
2206,3673583,2,268
2213,3666771,2,205
1958,3666671,2,205
1793,5454923,2,243
4997021,2063,2,241
1793,5454924,2,199
4037269,2294,2,197
2112,3687251,2,209
2112,3687252,2,191
2112,3687253,2,216
2125,3666562,2,194
2125,3666561,2,192
2213,3666671,2,205
1767,2527,2,105
2287,5944500,2,218
1958,1957,2,161
2377,6591450,2,217
2213,4035729,2,205
2121,7170691,2,212
6591780,2076,2,216
3731629,1891,2,202
3343777,2377,2,180
2125,4036979,2,218
2125,4036978,2,199
2403,3765258,2,225
2403,4036787,2,230
2403,4036786,2,243
3749762,1675,2,220
2076,3666620,2,192
2076,3666621,2,194
2063,2062,2,75
2403,5454936,2,216
1958,3749677,2,217
2076,4044988,2,198
2076,5018392,2,185
4037264,2112,2,195
5761975,1675,2,196
6423460,2076,2,250
1958,3740297,2,282
1952,2206,2,169
1951,3765255,2,270
1901,4036972,2,269
1901,4036973,2,205
3716893,2206,2,263
2437,1956,2,600
1958,7275140,2,282
2089,3689920,2,208
1932,6682566,2,306
2287,4009048,2,202
2076,3666672,2,192
2076,3666673,2,194
2287,4035564,2,218
4471839,1793,2,230
2136,5454920,2,264
2403,5454924,2,199
4996989,1767,2,207
2063,3748093,2,205
1891,5944499,2,251
1891,4009048,2,202
2403,1648,2,129
3807563,1958,2,205
1772,4035551,2,221
1772,4035552,2,205
4996991,2294,2,234
2550,4889494,2,194
2550,4889493,2,194
1958,3666619,2,205
2403,5454923,2,243
6423464,2294,2,197
1958,3666771,2,205
2076,5747233,2,254
2206,7176294,2,197
2206,7176292,2,197
3343786,2063,2,180
2076,5747232,2,201
2076,5747231,2,199
2063,3764983,2,195
4471840,2521,2,231
2206,2211,2,600
2125,5018141,2,198
2125,3666725,2,194
2063,3764984,2,216
2297,4035818,2,243
2125,3666724,2,192
2125,5018140,2,223
2136,5454919,2,247
2125,3666620,2,192
2125,3666621,2,194
2063,3748094,2,220
2112,4459258,2,241
2089,6869812,2,207
2089,4035534,2,212
2112,4459257,2,209
2297,5657322,2,220
2089,4035535,2,203
2076,5018140,2,223
2076,5018141,2,198
1958,1910,2,420
1767,3926396,2,204
2121,3446769,2,259
2206,3887757,2,232
1793,7153059,2,230
2063,3813103,2,220
2063,3687251,2,209
2063,3687253,2,216
2063,3813102,2,195
2063,3687252,2,191
1767,3926397,2,217
2213,3666723,2,205
1951,1956,2,600
1793,7153058,2,243
2125,5018330,2,185
2125,5018331,2,216
3807564,2076,2,250
1641,3764975,2,282
2125,1954,2,55
2382,4035552,2,205
2403,2528,2,118
2125,1953,2,107
2382,4035551,2,221
6591842,1767,2,217
2121,3446767,2,194
1793,3764528,2,199
2063,4036642,2,195
2521,3764975,2,282
1793,3764527,2,243
2063,4036643,2,191
2287,4009092,2,193
2257,3446763,2,198
2072,5944516,2,207
2072,5944515,2,207
7176293,1951,2,197
6591842,2377,2,217
2257,3446764,2,245
2403,3764540,2,216
2121,3446770,2,274
2403,3893446,2,214
4997020,2063,2,197
2403,3893447,2,217
1793,5454881,2,216
2485,1676,2,127
1793,5454880,2,199
2403,3893445,2,248
2424,3926433,2,376
2485,1674,2,116
2550,3664390,2,222
2403,3893448,2,199
2310,3687442,2,243
2550,5747235,2,203
1952,1951,2,145
6591779,2076,2,216
2077,1958,2,97
1772,4036969,2,205
1772,4036968,2,221
2213,3749677,2,217
4996994,2125,2,250
6591781,2076,2,254
2125,3740294,2,201
2076,4035563,2,254
2076,4035562,2,259
2076,3740502,2,194
2076,4035561,2,199
2076,3740501,2,263
2121,3682024,2,194
2008,4726950,2,284
1793,3764540,2,216
2072,5922192,2,274
2089,3689919,2,207
2072,5922193,2,252
2125,3740295,2,218
1901,1900,2,235
1958,3749738,2,281
2550,6869726,2,195
1746,4035550,2,206
2382,5747222,2,205
2382,5747221,2,221
2403,2404,2,90
2550,4889458,2,194
3749793,1675,2,268
6423471,2310,2,198
2550,4889457,2,194
2550,3664389,2,194
1901,1902,2,174
2112,3747835,2,241
2112,3747834,2,197
2403,3764527,2,243
2403,3764528,2,199
2247,5770784,2,243
1766,1767,2,60
2063,3687123,2,241
2089,3664389,2,194
1793,1794,2,90
2247,5770783,2,240
4471840,1641,2,231
1958,3666723,2,205
2125,4037048,2,254
7176323,2089,2,212
2063,3748055,2,287
2063,3748056,2,264
2063,3748057,2,216
1746,3926433,2,376
1746,4035549,2,206
2125,3764607,2,250
2125,3764608,2,259
4471841,2206,2,208
2125,4035817,2,254
2125,4035816,2,201
2125,4035815,2,201
4037270,2125,2,218
2121,5944515,2,207
2485,2486,2,125
4996990,1898,2,197
1675,4035810,2,274
2112,4726938,2,197
2213,2235,2,420
